2,5590,7.6,181,-19.94,0.75,130.1,4.07,0.9999,0
2,5770,7.6,181,-20.14,0.92,47.1,4.82,221.5,0
2,5445,31.9,22,-21.4,1.39,0,0.9999,0.9999,0
2,5422,31.9,22,-21.17,1.51,5.8,0.9999,372.6,0
2,5222,9.8,423,-20.84,1.38,9,2.88,347.9,0
2,5645,9.8,423,-21.56,1.6,0,0.9999,0.9999,0
2,5070,29.5,78,-20.23,1.36,0,0.9999,0.9999,0
2,5148,29.5,78,-20.66,0.94,18.1,2.92,0.9999,0
2,4466,17.3,106,-20.69,0.63,96.8,5.77,0.9999,0
2,4572,17.3,106,-21.1,0.63,71,3.57,161.7,0
2,5809,51.2,324,-20.88,1.62,11,0.9999,339,0
2,5485,51.2,324,-20.59,1.56,6.1,0.9999,342.1,0
3,4338,27.2,44,-22.06,1.56,13.5,0.9999,448.5,0
3,4381,15.5,44,-21.61,1.5,0,0.9999,0.9999,0
3,4261,15.5,77,-20.39,0.96,10.4,0.9999,0.9999,0
2,4369,37.5,154,-20.95,1.63,6.5,0.9999,227.8,1
2,4793,37.5,154,-20.69,0.96,36.9,4.74,0.9999,1
2,5096,48.5,174,-21.66,1.45,12,0.9999,355.2,0
2,5270,48.5,174,-20.72,1.27,11.5,0.9999,278.5,0
2,12443,24.2,298,-22.24,1.4,6.2,0.9999,433.8,0
2,12741,24.2,298,-22.01,1.36,27.5,0.9999,460.8,0
2,11755,35.7,194,-21.24,0.98,22.6,4.17,377.5,0
2,11561,35.7,194,-22.4,1.52,10.6,0.9999,0.9999,0
3,5605,34.1,2,-21.32,1.32,6.4,0.9999,335.7,1
3,5323,13.6,280,-21.46,0.85,58.2,3.85,312.9,1
3,5603,13.6,2,-21.41,0.93,45.9,4.95,0.9999,1
2,14329,39,473,-22.92,0.99,17.9,0.9999,0.9999,0
2,14802,39,473,-23.3,1.77,0,0.9999,0.9999,0
2,2596,39.8,174,-21.39,1.28,77.9,5.89,391.5,0
2,2422,39.8,174,-21.72,1.56,0,0.9999,0.9999,0
2,6188,42.2,111,-20.69,0.87,17.6,2.88,229.4,1
2,6077,42.2,111,-22.09,1.25,10.6,0.9999,368.9,0
2,6200,49.5,562,-23.07,1.43,0,0.9999,0.9999,0
2,5638,49.5,562,-20.89,0.66,18.7,3.25,232.1,0
2,4557,50.8,104,-20.71,1.67,0,0.9999,0.9999,0
2,4661,50.8,104,-19.78,1.08,10.1,0.9999,0.9999,0
